Year,Month,monthly_rainfall
2014,1,450.59999999999997
2014,2,124
2014,3,728.1
2014,4,1296.2
2014,5,1621.8
2014,6,1026.9
2014,7,1070.8
2014,8,1294.5
2014,9,619.6
2014,10,630.8
2014,11,1587.6
2014,12,1910.8
2015,1,559
2015,2,410.8
2015,3,1057.4
2015,4,1162.2
2015,5,1001
2015,6,658.8
2015,7,559.1
2015,8,1255.6
2015,9,661.6
2015,10,649
2015,11,1262
2015,12,2182.4
2016,1,1148.8
2016,2,1271.2
2016,3,446.4
2016,4,1082.6
2016,5,1404.4
2016,6,1481.4
2016,7,1727.2
2016,8,845.9
2016,9,903.3
2016,10,1196
2016,11,1497.6
2016,12,1403.2
2017,1,1645.2
2017,2,1022.2
2017,3,1309.6
2017,4,1709.8
2017,5,1549.6
2017,6,847.9
2017,7,771.2
2017,8,961
2017,9,1198.8
2017,10,1186
2017,11,1966.8
2017,12,2090.5
2018,1,2286.1
2018,2,307.2
2018,3,930
2018,4,1353.8
2018,5,1520.6
2018,6,1632.8
2018,7,677.4
2018,8,583.6
2018,9,1196.6
2018,10,1706.4
2018,11,2007.4
2018,12,1489.6
2019,1,578.5
2019,2,327.2
2019,3,762.4
2019,4,1512.6
2019,5,1193.2
2019,6,1775.7
2019,7,443.8
2019,8,168.79999999999998
2019,9,578.4
2019,10,1051.4
2019,11,1272.9
2019,12,2062.7
2020,1,1019
2020,2,568.2
2020,3,838.4
2020,4,1787.6
2020,5,1623.8
2020,6,2195.6
2020,7,1425
2020,8,1329.7
2020,9,1936.2
2020,10,1083.2
2020,11,1905.8
2020,12,1785.6
2021,1,3344.4
2021,2,255
2021,3,1862.2
2021,4,2296.8
2021,5,1772.7
2021,6,1556.4
2021,7,1518.2
2021,8,2740.6
2021,9,1590.6
2021,10,1101
2021,11,1957
2021,12,1215.7
2022,1,725.2
2022,2,1493.4
2022,3,1832.2
2022,4,1485.6
2022,5,1194.1
2022,6,1457.3
2022,7,739.2
2022,8,1426.3
2022,9,1335.2
2022,10,2551.4
2022,11,2258.3
2022,12,1555.7
2023,1,1636.4
2023,2,2441.6
2023,3,2020.8
2023,4,1354.8
2023,5,1027.2
2023,6,1558.8
2023,7,1477.5
2023,8,899.8
2023,9,957.7
2023,10,797
2023,11,1983
2023,12,2523.5
