Station,Date,Year,Month,Day,Daily_Rainfall_Total_mm,Mean_Temperature,Max_Temperature,Min_Temperature,Latitude,Longitude,Date_mine,Month_Name,Week,Weekday
Changi,2014-01-01,2014,1,1,0,26.7,29,24.9,1.3678,103.9826,2023-01-01,January,1,4
Changi,2014-01-02,2014,1,2,0,27.4,30.9,25,1.3678,103.9826,2023-01-02,January,1,5
Changi,2014-01-03,2014,1,3,0,27.1,30.4,24.9,1.3678,103.9826,2023-01-03,January,1,6
Changi,2014-01-04,2014,1,4,0,27.1,31.1,24.9,1.3678,103.9826,2023-01-04,January,1,7
Changi,2014-01-05,2014,1,5,18.4,24.8,26.4,23.3,1.3678,103.9826,2023-01-05,January,1,1
Changi,2014-01-06,2014,1,6,31.2,25.3,27.1,23.9,1.3678,103.9826,2023-01-06,January,2,2
Changi,2014-01-07,2014,1,7,0,26.7,30.7,24.3,1.3678,103.9826,2023-01-07,January,2,3
Changi,2014-01-08,2014,1,8,0,27.1,31.8,24.7,1.3678,103.9826,2023-01-08,January,2,4
Changi,2014-01-09,2014,1,9,2,25.9,29.3,24.3,1.3678,103.9826,2023-01-09,January,2,5
Changi,2014-01-10,2014,1,10,0,26.8,30.6,24.2,1.3678,103.9826,2023-01-10,January,2,6
Changi,2014-01-11,2014,1,11,5.6,26.6,31.4,23.7,1.3678,103.9826,2023-01-11,January,2,7
Changi,2014-01-12,2014,1,12,18.2,26.2,28.9,23.8,1.3678,103.9826,2023-01-12,January,2,1
Changi,2014-01-13,2014,1,13,0,26.9,30.3,25.4,1.3678,103.9826,2023-01-13,January,3,2
Changi,2014-01-14,2014,1,14,0,26.5,29.3,24.5,1.3678,103.9826,2023-01-14,January,3,3
Changi,2014-01-15,2014,1,15,0,26,28.2,24.5,1.3678,103.9826,2023-01-15,January,3,4
Changi,2014-01-16,2014,1,16,0,26.2,28.5,24.5,1.3678,103.9826,2023-01-16,January,3,5
Changi,2014-01-17,2014,1,17,0,26,29.2,23.7,1.3678,103.9826,2023-01-17,January,3,6
Changi,2014-01-18,2014,1,18,0,26.1,29.3,24.1,1.3678,103.9826,2023-01-18,January,3,7
Changi,2014-01-19,2014,1,19,0,26,29.2,23.5,1.3678,103.9826,2023-01-19,January,3,1
Changi,2014-01-20,2014,1,20,0,25.7,29.1,23.6,1.3678,103.9826,2023-01-20,January,4,2
Changi,2014-01-21,2014,1,21,0,25.6,29.4,23.4,1.3678,103.9826,2023-01-21,January,4,3
Changi,2014-01-22,2014,1,22,0,25.5,28.4,23.2,1.3678,103.9826,2023-01-22,January,4,4
Changi,2014-01-23,2014,1,23,0,25.9,29.2,23.9,1.3678,103.9826,2023-01-23,January,4,5
Changi,2014-01-24,2014,1,24,0,25.8,28.5,24,1.3678,103.9826,2023-01-24,January,4,6
Changi,2014-01-25,2014,1,25,0,25.8,29.3,23.9,1.3678,103.9826,2023-01-25,January,4,7
Changi,2014-01-26,2014,1,26,0,25.6,29.4,22.7,1.3678,103.9826,2023-01-26,January,4,1
Changi,2014-01-27,2014,1,27,0,25.9,29.8,23.8,1.3678,103.9826,2023-01-27,January,5,2
Changi,2014-01-28,2014,1,28,0,26.5,30.1,24.4,1.3678,103.9826,2023-01-28,January,5,3
Changi,2014-01-29,2014,1,29,0,26.5,30.5,23.9,1.3678,103.9826,2023-01-29,January,5,4
Changi,2014-01-30,2014,1,30,0,25.8,30.6,22.4,1.3678,103.9826,2023-01-30,January,5,5
Changi,2014-01-31,2014,1,31,0,26.3,30.6,23.8,1.3678,103.9826,2023-01-31,January,5,6
Changi,2014-02-01,2014,2,1,0,25.9,31.6,22.4,1.3678,103.9826,2023-02-01,February,5,7
Changi,2014-02-02,2014,2,2,0,25.5,30.2,22.7,1.3678,103.9826,2023-02-02,February,5,1
Changi,2014-02-03,2014,2,3,0,26.1,31.2,22.9,1.3678,103.9826,2023-02-03,February,6,2
Changi,2014-02-04,2014,2,4,0,26.5,31.3,23.4,1.3678,103.9826,2023-02-04,February,6,3
Changi,2014-02-05,2014,2,5,0,26.2,30.7,23.2,1.3678,103.9826,2023-02-05,February,6,4
Changi,2014-02-06,2014,2,6,0,26.4,31.3,23.1,1.3678,103.9826,2023-02-06,February,6,5
Changi,2014-02-07,2014,2,7,0,26.5,31.6,23.9,1.3678,103.9826,2023-02-07,February,6,6
Changi,2014-02-08,2014,2,8,0.2,26.9,31.6,24,1.3678,103.9826,2023-02-08,February,6,7
Changi,2014-02-09,2014,2,9,0,27.5,32.7,24.7,1.3678,103.9826,2023-02-09,February,6,1
Changi,2014-02-10,2014,2,10,0,27.7,33.8,24.8,1.3678,103.9826,2023-02-10,February,7,2
Changi,2014-02-11,2014,2,11,0,27.6,32.4,25,1.3678,103.9826,2023-02-11,February,7,3
Changi,2014-02-12,2014,2,12,0,27.6,32.1,24.9,1.3678,103.9826,2023-02-12,February,7,4
Changi,2014-02-13,2014,2,13,0,27.9,32.7,25.4,1.3678,103.9826,2023-02-13,February,7,5
Changi,2014-02-14,2014,2,14,0,27.6,31.9,25.5,1.3678,103.9826,2023-02-14,February,7,6
Changi,2014-02-15,2014,2,15,0,27.8,31.9,25.4,1.3678,103.9826,2023-02-15,February,7,7
Changi,2014-02-16,2014,2,16,0,27.8,32.1,25.3,1.3678,103.9826,2023-02-16,February,7,1
Changi,2014-02-17,2014,2,17,0,27.8,31.7,25.6,1.3678,103.9826,2023-02-17,February,8,2
Changi,2014-02-18,2014,2,18,0,27.7,32.6,25.2,1.3678,103.9826,2023-02-18,February,8,3
Changi,2014-02-19,2014,2,19,0,27.6,32.2,24.9,1.3678,103.9826,2023-02-19,February,8,4
Changi,2014-02-20,2014,2,20,0,27.7,32.2,24.9,1.3678,103.9826,2023-02-20,February,8,5
Changi,2014-02-21,2014,2,21,0,27.7,31.7,25.8,1.3678,103.9826,2023-02-21,February,8,6
Changi,2014-02-22,2014,2,22,0,28,32.3,25.5,1.3678,103.9826,2023-02-22,February,8,7
