Station,Date,Year,Month,Day,Daily.Rainfall.Total..mm.,Mean.Temperature...C.,Maximum.Temperature...C.,Minimum.Temperature...C.,Latitude,Longitude,Date_mine,Month_Name,Week,Weekday
Ang Mo Kio,2021-01-01,2021,1,1,94.4,24,26.2,21.5,1.3764,103.8492,2023-01-01,January,53,6
Ang Mo Kio,2021-01-02,2021,1,2,114.4,23,24.5,21.6,1.3764,103.8492,2023-01-02,January,53,7
Ang Mo Kio,2021-01-03,2021,1,3,5.2,23.9,25.3,23.2,1.3764,103.8492,2023-01-03,January,53,1
Ang Mo Kio,2021-01-04,2021,1,4,0,25.1,27.9,23.1,1.3764,103.8492,2023-01-04,January,1,2
Ang Mo Kio,2021-01-05,2021,1,5,0,26.9,31.6,24.1,1.3764,103.8492,2023-01-05,January,1,3
Ang Mo Kio,2021-01-06,2021,1,6,0,26.9,30.3,25.1,1.3764,103.8492,2023-01-06,January,1,4
Ang Mo Kio,2021-01-07,2021,1,7,1.6,24.4,26,23.8,1.3764,103.8492,2023-01-07,January,1,5
Ang Mo Kio,2021-01-08,2021,1,8,12.6,25.3,27.5,24,1.3764,103.8492,2023-01-08,January,1,6
Ang Mo Kio,2021-01-09,2021,1,9,35.4,25.2,27.3,23.8,1.3764,103.8492,2023-01-09,January,1,7
Ang Mo Kio,2021-01-10,2021,1,10,118.6,23.7,24.1,23.4,1.3764,103.8492,2023-01-10,January,1,1
Ang Mo Kio,2021-01-11,2021,1,11,3.4,25.4,28.7,23.9,1.3764,103.8492,2023-01-11,January,2,2
Ang Mo Kio,2021-01-12,2021,1,12,11.2,25.1,28.4,23.5,1.3764,103.8492,2023-01-12,January,2,3
Ang Mo Kio,2021-01-13,2021,1,13,1.6,25.1,27.2,23.4,1.3764,103.8492,2023-01-13,January,2,4
Ang Mo Kio,2021-01-14,2021,1,14,0,25.7,28.8,23.3,1.3764,103.8492,2023-01-14,January,2,5
Ang Mo Kio,2021-01-15,2021,1,15,0,26.7,31.3,24.1,1.3764,103.8492,2023-01-15,January,2,6
Ang Mo Kio,2021-01-16,2021,1,16,0,26.9,30.3,24.6,1.3764,103.8492,2023-01-16,January,2,7
Ang Mo Kio,2021-01-17,2021,1,17,0,27,30.7,24.7,1.3764,103.8492,2023-01-17,January,2,1
Ang Mo Kio,2021-01-18,2021,1,18,0,26.1,28.3,24.7,1.3764,103.8492,2023-01-18,January,3,2
Ang Mo Kio,2021-01-19,2021,1,19,0,26.1,29.6,23.8,1.3764,103.8492,2023-01-19,January,3,3
Ang Mo Kio,2021-01-20,2021,1,20,0,26.2,29.2,23.9,1.3764,103.8492,2023-01-20,January,3,4
Ang Mo Kio,2021-01-21,2021,1,21,14.2,26.1,31.4,24,1.3764,103.8492,2023-01-21,January,3,5
Ang Mo Kio,2021-01-22,2021,1,22,18,25.6,30.8,23.8,1.3764,103.8492,2023-01-22,January,3,6
Ang Mo Kio,2021-01-23,2021,1,23,24.6,25.6,30.4,23.4,1.3764,103.8492,2023-01-23,January,3,7
Ang Mo Kio,2021-01-24,2021,1,24,0,26.5,31.6,23.4,1.3764,103.8492,2023-01-24,January,3,1
Ang Mo Kio,2021-01-25,2021,1,25,13,26.8,31.5,24.6,1.3764,103.8492,2023-01-25,January,4,2
Ang Mo Kio,2021-01-26,2021,1,26,0,27.1,32,24.2,1.3764,103.8492,2023-01-26,January,4,3
Ang Mo Kio,2021-01-27,2021,1,27,0,26.7,30.9,24.2,1.3764,103.8492,2023-01-27,January,4,4
Ang Mo Kio,2021-01-28,2021,1,28,14.2,25.6,28.8,23.4,1.3764,103.8492,2023-01-28,January,4,5
Ang Mo Kio,2021-01-29,2021,1,29,0,26.6,31.1,24,1.3764,103.8492,2023-01-29,January,4,6
Ang Mo Kio,2021-01-30,2021,1,30,0,26.6,30.8,24.3,1.3764,103.8492,2023-01-30,January,4,7
Ang Mo Kio,2021-01-31,2021,1,31,5.2,26.1,29.5,23.6,1.3764,103.8492,2023-01-31,January,4,1
Ang Mo Kio,2021-02-01,2021,2,1,0,26.7,30.1,24.8,1.3764,103.8492,2023-02-01,February,5,2
Ang Mo Kio,2021-02-02,2021,2,2,0,26.8,30,25.1,1.3764,103.8492,2023-02-02,February,5,3
Ang Mo Kio,2021-02-03,2021,2,3,0,26.9,30.9,24.9,1.3764,103.8492,2023-02-03,February,5,4
Ang Mo Kio,2021-02-04,2021,2,4,0,26.6,31,24,1.3764,103.8492,2023-02-04,February,5,5
Ang Mo Kio,2021-02-05,2021,2,5,0,27,31.8,24.1,1.3764,103.8492,2023-02-05,February,5,6
