Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
1,1,26.7,29,24.9,0,2021-01-01
1,2,27.4,30.9,25,0,2021-01-02
1,3,27.1,30.4,24.9,0,2021-01-03
1,4,27.1,31.1,24.9,0,2021-01-04
1,5,24.8,26.4,23.3,18.4,2021-01-05
1,6,25.3,27.1,23.9,31.2,2021-01-06
1,7,26.7,30.7,24.3,0,2021-01-07
1,8,27.1,31.8,24.7,0,2021-01-08
1,9,25.9,29.3,24.3,2,2021-01-09
1,10,26.8,30.6,24.2,0,2021-01-10
1,11,26.6,31.4,23.7,5.6,2021-01-11
1,12,26.2,28.9,23.8,18.2,2021-01-12
1,13,26.9,30.3,25.4,0,2021-01-13
1,14,26.5,29.3,24.5,0,2021-01-14
1,15,26,28.2,24.5,0,2021-01-15
1,16,26.2,28.5,24.5,0,2021-01-16
1,17,26,29.2,23.7,0,2021-01-17
1,18,26.1,29.3,24.1,0,2021-01-18
1,19,26,29.2,23.5,0,2021-01-19
1,20,25.7,29.1,23.6,0,2021-01-20
1,21,25.6,29.4,23.4,0,2021-01-21
1,22,25.5,28.4,23.2,0,2021-01-22
1,23,25.9,29.2,23.9,0,2021-01-23
1,24,25.8,28.5,24,0,2021-01-24
1,25,25.8,29.3,23.9,0,2021-01-25
1,26,25.6,29.4,22.7,0,2021-01-26
1,27,25.9,29.8,23.8,0,2021-01-27
1,28,26.5,30.1,24.4,0,2021-01-28
1,29,26.5,30.5,23.9,0,2021-01-29
1,30,25.8,30.6,22.4,0,2021-01-30
1,31,26.3,30.6,23.8,0,2021-01-31
2,1,25.9,31.6,22.4,0,2021-02-01
2,2,25.5,30.2,22.7,0,2021-02-02
2,3,26.1,31.2,22.9,0,2021-02-03
2,4,26.5,31.3,23.4,0,2021-02-04
2,5,26.2,30.7,23.2,0,2021-02-05
2,6,26.4,31.3,23.1,0,2021-02-06
2,7,26.5,31.6,23.9,0,2021-02-07
2,8,26.9,31.6,24,0.2,2021-02-08
